"text","label","type","source","lang","category","has_diacritics"
"Subiect: Acțiune Necesară: Confirmă adresa de livrare (Comanda #19382). Coletul tău Easybox nu poate fi livrat fără o confirmare rapidă. Confirmă aici: [http://sameday-validare.info/confirm](http://sameday-validare.info/confirm)","1","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"ATENȚIE: Livrarea Sameday Easybox a eșuat. Pentru reprogramare și plată taxă (4.99 RON), accesați urgent: [http://reprogramare-livrare.com/taxe](http://reprogramare-livrare.com/taxe)","1","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Coletul cu AWB SAMD12345678 a fost preluat de curier. Urmăriți statusul pe: https://sameday.ro/tracking","0","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Comandă Nouă Plasată! Coletul nr. X9823 a fost expediat către Easybox. Dacă nu ați plasat această comandă, anulați imediat aici: [http://anuleaza-colet.net/stop](http://anuleaza-colet.net/stop)","1","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Coletul tău așteaptă la Easybox! AWB A772233. PIN de ridicare: 6789. Adresa: Str. Libertății, București.","0","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Coletul tău este BLOCAT. Adresa de livrare necesită verificare înainte de a fi depus în Easybox. Validează datele aici: [http://easybox-date-client.link/verif](http://easybox-date-client.link/verif)","1","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Ai ridicat coletul SAMD998877. Vă mulțumim că ați ales Sameday.","0","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Confirmare Comandă de Valoare Mare. Felicitări! Ați câștigat un premiu! Confirmați livrarea coletului (cost 9.99 RON) la [http://livrare-premiu-sameday.xyz/plata](http://livrare-premiu-sameday.xyz/plata)","1","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Notificare: PIN nou generat pentru coletul AWB P112233. PIN: 4567. Valabil 24h.","0","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"ATENȚIE: Comanda ta a fost CONFIRMATĂ (3 articole). Dacă NU ești tu, dezactivează acum: [http://confirmare-urgenta-colet.com/dezact](http://confirmare-urgenta-colet.com/dezact)","1","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Taxă Vamală Neprevăzută. Coletul tău Sameday Easybox (AWB E445566) este reținut din cauza unei taxe vamale. Achită urgent 12.50 RON: [http://plati-colet-vama.net](http://plati-colet-vama.net)","1","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Îți reamintim: Coletul tău așteaptă la Easybox. Termen limită de ridicare: mâine, ora 18:00. AWB: 102030.","0","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"EROARE LA PLATĂ: Nu s-a putut percepe taxa de livrare Easybox. Actualizează datele cardului imediat pentru a evita anularea: [http://date-plata-curier.org/update](http://date-plata-curier.org/update)","1","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Modificare Locație Easybox. Locația de livrare a fost schimbată la cererea dvs. Vezi detalii: https://sameday.ro/contact","0","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Verificare Identitate - Livrare Colet. Înainte de a depune coletul în Easybox, avem nevoie de o verificare rapidă a identității. Accesează: [http://validare-identitate-ro.info](http://validare-identitate-ro.info)","1","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Coletul tău a fost depus în Easybox NOUA TA LOCAȚIE. PIN: 9876. Valabilitate 30h.","0","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Ultima ȘANSĂ: Confirmă livrarea coletului tău Sameday Easybox nr. 3452. Dacă nu confirmi în 2 ore, comanda va fi anulată: [http://confirma-colet-azi.xyz](http://confirma-colet-azi.xyz)","1","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Notificare Tranzacție Securizată Sameday. Ai plătit cu succes taxa de retur de 15 RON. Suma va fi procesată în 3 zile lucrătoare.","0","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Coletul tău A Fost Returnat! Eroare de adresa. Pentru a evita returnarea definitivă, reintroduceți datele dvs. de livrare: [http://reintroducere-adresa-colet.net](http://reintroducere-adresa-colet.net)","1","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"PIN acces retur Easybox: 1357. Valabil 6 ore de la primirea acestui mesaj.","0","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Coletul 556677 a fost CONFIRMAT pentru ridicare mâine. Dacă NU l-ai comandat tu, anulează AICI: [http://anulare-rapida-easybox.link/stop](http://anulare-rapida-easybox.link/stop)","1","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Mulțumim pentru feedback! Părerea ta despre serviciul Easybox este importantă. Lasă-ne o recenzie: https://client.sameday.ro/feedback","0","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Avertisment Major: Colet cu substanțe interzise detectat. Trebuie să confirmi conținutul coletului (AWB 887766) pentru a evita implicarea legală: [http://vama-colet-periculos.com](http://vama-colet-periculos.com)","1","email","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Info: Ai o comandă COD RAMBURS în Easybox. Plata se face exclusiv cu cardul la terminal.","0","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Comanda ta a fost validată pentru 1200 RON. Confirmă identitatea ta în 30 de minute sau va fi livrată: [http://confirmare-plata-finala.org](http://confirmare-plata-finala.org)","1","sms","link urmărire colet (Sameday Easybox)","ro","Curierat_Posta","True"
"Subiect: Acțiune Necesară: Confirmați noua metodă de plată înregistrată pe contul dvs. Dacă nu recunoașteți această acțiune, anulați imediat aici: [http://bt-confirma-ro.com/validare](http://bt-confirma-ro.com/validare)","1","email","actualizare date personale (Banca Transilvania)","ro","Bancar","True"
"S-a înregistrat o cerere de schimbare a PIN-ului cardului George. Anulați imediat această modificare, dacă nu ați făcut-o dvs.: [http://bcr-ro-pin.site/anulare](http://bcr-ro-pin.site/anulare)","1","sms","actualizare date personale (BCR)","ro","Bancar","True"
